Note;f0;L;d;ρ;T0;Ru;Rv;Rφ;ηu;ηv;ηφ;p;xH;MH;KH;RH;x0;y0
E6;1321.31;0.145;0.815;7850;603;3.3 × 10−01;5.0 × 10−01;3.3 × 10−01;3.4 × 10−09;1.0 × 10−09;3.4 × 10−09;2.937;0.017;6.96;1.791 × 1011;9.777 × 1005;1.12;0.07
F6;1399.97;0.138;0.808;7850;598;3.3 × 10−01;5.0 × 10−01;3.3 × 10−01;3.4 × 10−09;1.0 × 10−09;3.4 × 10−09;2.962;0.017;6.90;2.024 × 1011;9.992 × 1005;1.13;0.06
Fd6;1483.31;0.130;0.801;7850;592;3.4 × 10−01;5.0 × 10−01;3.4 × 10−01;3.5 × 10−09;1.0 × 10−09;3.5 × 10−09;2.988;0.016;6.84;2.287 × 1011;1.021 × 1006;1.15;0.06
G6;1571.35;0.124;0.794;7850;587;3.4 × 10−01;5.0 × 10−01;3.4 × 10−01;3.5 × 10−09;1.0 × 10−09;3.5 × 10−09;3.015;0.015;6.77;2.585 × 1011;1.044 × 1006;1.16;0.05
Ab6;1665.41;0.117;0.787;7850;581;3.4 × 10−01;5.0 × 10−01;3.4 × 10−01;3.5 × 10−09;1.0 × 10−09;3.5 × 10−09;3.042;0.014;6.71;2.921 × 1011;1.067 × 1006;1.18;0.04
A6;1764.21;0.111;0.780;7850;575;3.5 × 10−01;5.0 × 10−01;3.5 × 10−01;3.6 × 10−09;1.0 × 10−09;3.6 × 10−09;3.069;0.013;6.65;3.301 × 1011;1.090 × 1006;1.19;0.04
Ad6;1869.22;0.105;0.772;7850;568;3.5 × 10−01;5.0 × 10−01;3.5 × 10−01;3.6 × 10−09;1.0 × 10−09;3.6 × 10−09;3.097;0.013;6.59;3.730 × 1011;1.114 × 1006;1.21;0.03
B6;1980.57;0.100;0.764;7850;562;3.6 × 10−01;5.0 × 10−01;3.6 × 10−01;3.6 × 10−09;1.0 × 10−09;3.6 × 10−09;3.126;0.012;6.52;4.215 × 1011;1.138 × 1006;1.22;0.02
C7;2098.32;0.095;0.757;7850;555;3.6 × 10−01;5.0 × 10−01;3.6 × 10−01;3.6 × 10−09;1.0 × 10−09;3.6 × 10−09;3.155;0.011;6.46;4.763 × 1011;1.163 × 1006;1.24;0.02
Cd7;2222.39;0.090;0.749;7850;548;3.7 × 10−01;5.0 × 10−01;3.7 × 10−01;3.7 × 10−09;1.0 × 10−09;3.7 × 10−09;3.184;0.011;6.40;5.382 × 1011;1.189 × 1006;1.25;0.01
D7;2355.34;0.085;0.741;7850;541;3.8 × 10−01;5.0 × 10−01;3.8 × 10−01;3.7 × 10−09;1.0 × 10−09;3.7 × 10−09;3.214;0.010;6.34;6.082 × 1011;1.215 × 1006;1.27;0.01
Dd7;2494.63;0.081;0.732;7850;534;3.8 × 10−01;5.0 × 10−01;3.8 × 10−01;3.7 × 10−09;1.0 × 10−09;3.7 × 10−09;3.245;0.010;6.27;6.873 × 1011;1.242 × 1006;1.28;0.00
E7;2643.17;0.076;0.724;7850;526;3.9 × 10−01;5.0 × 10−01;3.9 × 10−01;3.8 × 10−09;1.0 × 10−09;3.8 × 10−09;3.276;0.009;6.21;7.767 × 1011;1.269 × 1006;1.29;-0.00
F7;2801.35;0.072;0.716;7850;518;3.9 × 10−01;5.0 × 10−01;3.9 × 10−01;3.8 × 10−09;1.0 × 10−09;3.8 × 10−09;3.307;0.009;6.15;8.777 × 1011;1.297 × 1006;1.31;-0.01
Fd7;2965.15;0.069;0.707;7850;510;4.0 × 10−01;5.0 × 10−01;4.0 × 10−01;3.8 × 10−09;1.0 × 10−09;3.8 × 10−09;3.339;0.008;6.09;9.919 × 1011;1.325 × 1006;1.32;-0.01
G7;3142.89;0.065;0.698;7850;502;4.0 × 10−01;5.0 × 10−01;4.0 × 10−01;3.8 × 10−09;1.0 × 10−09;3.8 × 10−09;3.371;0.008;6.03;1.121 × 1012;1.354 × 1006;1.33;-0.02
Ab7;3330.76;0.062;0.689;7850;493;4.1 × 10−01;5.0 × 10−01;4.1 × 10−01;3.9 × 10−09;1.0 × 10−09;3.9 × 10−09;3.404;0.007;5.96;1.267 × 1012;1.384 × 1006;1.34;-0.02
A7;3528.57;0.058;0.680;7850;485;4.1 × 10−01;5.0 × 10−01;4.1 × 10−01;3.9 × 10−09;1.0 × 10−09;3.9 × 10−09;3.438;0.007;5.90;1.431 × 1012;1.415 × 1006;1.36;-0.02
Ad7;3735.94;0.055;0.671;7850;476;4.1 × 10−01;5.0 × 10−01;4.1 × 10−01;3.9 × 10−09;1.0 × 10−09;3.9 × 10−09;3.471;0.007;5.84;1.617 × 1012;1.446 × 1006;1.37;-0.03
B7;3959.63;0.052;0.662;7850;467;4.2 × 10−01;5.0 × 10−01;4.2 × 10−01;3.9 × 10−09;1.0 × 10−09;3.9 × 10−09;3.506;0.006;5.78;1.828 × 1012;1.477 × 1006;1.38;-0.03
