;Note;C1;Cd1;D1;Dd1;E1;F1;Fd1;G1;Ab1;A1;Ad1;B1;C2;Cd2;D2;Dd2;E2;F2;Fd2;G2;Ab2;A2;Ad2;B2;C3;Cd3;D3;Dd3;E3;F3;Fd3;G3;Ab3;A3;Ad3;B3;C4;Cd4;D4;Dd4;E4;F4;Fd4;G4;Ab4;A4;Ad4;B4;C5;Cd5;D5;Dd5;E5;F5;Fd5;G5;Ab5;A5;Ad5;B5;C6;Cd6;D6;Dd6;E6;F6;Fd6;G6;Ab6;A6;Ad6;B6;C7;Cd7;D7;Dd7;E7;F7;Fd7;G7;Ab7;A7;Ad7;B7
ηφ;(s);1.6 × 10−09;1.7 × 10−09;1.7 × 10−09;1.7 × 10−09;1.7 × 10−09;1.8 × 10−09;1.8 × 10−09;1.8 × 10−09;1.9 × 10−09;1.9 × 10−09;1.9 × 10−09;1.9 × 10−09;2.0 × 10−09;2.0 × 10−09;2.0 × 10−09;2.1 × 10−09;2.1 × 10−09;2.1 × 10−09;2.1 × 10−09;2.2 × 10−09;2.2 × 10−09;2.2 × 10−09;2.3 × 10−09;2.3 × 10−09;2.3 × 10−09;2.3 × 10−09;2.4 × 10−09;2.4 × 10−09;2.4 × 10−09;2.4 × 10−09;2.5 × 10−09;2.5 × 10−09;2.5 × 10−09;2.6 × 10−09;2.6 × 10−09;2.6 × 10−09;2.6 × 10−09;2.7 × 10−09;2.7 × 10−09;2.7 × 10−09;2.8 × 10−09;2.8 × 10−09;2.8 × 10−09;2.8 × 10−09;2.9 × 10−09;2.9 × 10−09;2.9 × 10−09;2.9 × 10−09;3.0 × 10−09;3.0 × 10−09;3.0 × 10−09;3.1 × 10−09;3.1 × 10−09;3.1 × 10−09;3.1 × 10−09;3.2 × 10−09;3.2 × 10−09;3.2 × 10−09;3.3 × 10−09;3.3 × 10−09;3.3 × 10−09;3.3 × 10−09;3.4 × 10−09;3.4 × 10−09;3.4 × 10−09;3.4 × 10−09;3.5 × 10−09;3.5 × 10−09;3.5 × 10−09;3.6 × 10−09;3.6 × 10−09;3.6 × 10−09;3.6 × 10−09;3.7 × 10−09;3.7 × 10−09;3.7 × 10−09;3.8 × 10−09;3.8 × 10−09;3.8 × 10−09;3.8 × 10−09;3.9 × 10−09;3.9 × 10−09;3.9 × 10−09;3.9 × 10−09
p;(-);2.310;2.305;2.300;2.295;2.291;2.287;2.284;2.282;2.280;2.278;2.277;2.276;2.276;2.276;2.277;2.278;2.280;2.282;2.285;2.288;2.292;2.296;2.301;2.306;2.312;2.318;2.325;2.332;2.339;2.347;2.356;2.365;2.375;2.385;2.395;2.406;2.418;2.430;2.442;2.455;2.468;2.482;2.497;2.512;2.527;2.543;2.559;2.576;2.593;2.611;2.629;2.648;2.668;2.687;2.708;2.728;2.749;2.771;2.793;2.816;2.839;2.863;2.887;2.912;2.937;2.962;2.988;3.015;3.042;3.069;3.097;3.126;3.155;3.184;3.214;3.245;3.276;3.307;3.339;3.371;3.404;3.438;3.471;3.506
xH;(m);0.558;0.528;0.500;0.473;0.448;0.425;0.402;0.381;0.361;0.341;0.323;0.306;0.290;0.275;0.260;0.246;0.233;0.221;0.209;0.198;0.188;0.178;0.168;0.160;0.151;0.143;0.136;0.128;0.122;0.115;0.109;0.103;0.098;0.093;0.088;0.083;0.079;0.075;0.071;0.067;0.064;0.060;0.057;0.054;0.051;0.048;0.046;0.044;0.041;0.039;0.037;0.035;0.033;0.031;0.030;0.028;0.027;0.025;0.024;0.023;0.022;0.020;0.019;0.018;0.017;0.017;0.016;0.015;0.014;0.013;0.013;0.012;0.011;0.011;0.010;0.010;0.009;0.009;0.008;0.008;0.007;0.007;0.007;0.006
MH;(g);10.95;10.89;10.83;10.76;10.70;10.64;10.58;10.51;10.45;10.39;10.33;10.26;10.20;10.14;10.08;10.02;9.95;9.89;9.83;9.77;9.70;9.64;9.58;9.52;9.45;9.39;9.33;9.27;9.20;9.14;9.08;9.02;8.96;8.89;8.83;8.77;8.71;8.64;8.58;8.52;8.46;8.39;8.33;8.27;8.21;8.14;8.08;8.02;7.96;7.90;7.83;7.77;7.71;7.65;7.58;7.52;7.46;7.40;7.33;7.27;7.21;7.15;7.09;7.02;6.96;6.90;6.84;6.77;6.71;6.65;6.59;6.52;6.46;6.40;6.34;6.27;6.21;6.15;6.09;6.03;5.96;5.90;5.84;5.78
KH;(N·m−p);7.160 × 1007;8.091 × 1007;9.143 × 1007;1.033 × 1008;1.168 × 1008;1.319 × 1008;1.491 × 1008;1.685 × 1008;1.904 × 1008;2.152 × 1008;2.431 × 1008;2.748 × 1008;3.105 × 1008;3.509 × 1008;3.965 × 1008;4.481 × 1008;5.063 × 1008;5.722 × 1008;6.466 × 1008;7.307 × 1008;8.257 × 1008;9.331 × 1008;1.054 × 1009;1.192 × 1009;1.347 × 1009;1.522 × 1009;1.720 × 1009;1.943 × 1009;2.196 × 1009;2.481 × 1009;2.804 × 1009;3.169 × 1009;3.581 × 1009;4.047 × 1009;4.573 × 1009;5.168 × 1009;5.840 × 1009;6.599 × 1009;7.457 × 1009;8.427 × 1009;9.523 × 1009;1.076 × 1010;1.216 × 1010;1.374 × 1010;1.553 × 1010;1.755 × 1010;1.983 × 1010;2.241 × 1010;2.532 × 1010;2.862 × 1010;3.234 × 1010;3.655 × 1010;4.130 × 1010;4.667 × 1010;5.274 × 1010;5.960 × 1010;6.735 × 1010;7.611 × 1010;8.600 × 1010;9.719 × 1010;1.098 × 1011;1.241 × 1011;1.402 × 1011;1.585 × 1011;1.791 × 1011;2.024 × 1011;2.287 × 1011;2.585 × 1011;2.921 × 1011;3.301 × 1011;3.730 × 1011;4.215 × 1011;4.763 × 1011;5.382 × 1011;6.082 × 1011;6.873 × 1011;7.767 × 1011;8.777 × 1011;9.919 × 1011;1.121 × 1012;1.267 × 1012;1.431 × 1012;1.617 × 1012;1.828 × 1012
RH;(N·m−p);2.434 × 1005;2.487 × 1005;2.542 × 1005;2.598 × 1005;2.655 × 1005;2.713 × 1005;2.772 × 1005;2.833 × 1005;2.896 × 1005;2.959 × 1005;3.024 × 1005;3.091 × 1005;3.159 × 1005;3.228 × 1005;3.299 × 1005;3.371 × 1005;3.445 × 1005;3.521 × 1005;3.598 × 1005;3.677 × 1005;3.758 × 1005;3.841 × 1005;3.925 × 1005;4.011 × 1005;4.100 × 1005;4.190 × 1005;4.282 × 1005;4.376 × 1005;4.472 × 1005;4.570 × 1005;4.670 × 1005;4.773 × 1005;4.878 × 1005;4.985 × 1005;5.095 × 1005;5.206 × 1005;5.321 × 1005;5.438 × 1005;5.557 × 1005;5.679 × 1005;5.804 × 1005;5.932 × 1005;6.062 × 1005;6.195 × 1005;6.331 × 1005;6.470 × 1005;6.612 × 1005;6.758 × 1005;6.906 × 1005;7.058 × 1005;7.213 × 1005;7.371 × 1005;7.533 × 1005;7.699 × 1005;7.868 × 1005;8.040 × 1005;8.217 × 1005;8.398 × 1005;8.582 × 1005;8.771 × 1005;8.963 × 1005;9.160 × 1005;9.361 × 1005;9.567 × 1005;9.777 × 1005;9.992 × 1005;1.021 × 1006;1.044 × 1006;1.067 × 1006;1.090 × 1006;1.114 × 1006;1.138 × 1006;1.163 × 1006;1.189 × 1006;1.215 × 1006;1.242 × 1006;1.269 × 1006;1.297 × 1006;1.325 × 1006;1.354 × 1006;1.384 × 1006;1.415 × 1006;1.446 × 1006;1.477 × 1006
x0;(m);0.40;0.42;0.44;0.46;0.48;0.50;0.52;0.53;0.55;0.56;0.57;0.58;0.59;0.60;0.61;0.61;0.62;0.23;0.25;0.27;0.30;0.32;0.35;0.37;0.40;0.42;0.45;0.47;0.49;0.51;0.54;0.56;0.58;0.60;0.62;0.64;0.66;0.68;0.70;0.71;0.73;0.75;0.76;0.78;0.80;0.81;0.83;0.85;0.86;0.88;0.90;0.91;0.93;0.94;0.96;0.97;0.99;1.01;1.02;1.04;1.05;1.07;1.09;1.10;1.12;1.13;1.15;1.16;1.18;1.19;1.21;1.22;1.24;1.25;1.27;1.28;1.29;1.31;1.32;1.33;1.34;1.36;1.37;1.38
y0;(m);1.69;1.67;1.65;1.63;1.60;1.56;1.52;1.48;1.44;1.39;1.35;1.30;1.26;1.22;1.18;1.14;1.11;1.58;1.49;1.41;1.34;1.26;1.19;1.13;1.06;1.01;0.95;0.90;0.85;0.80;0.75;0.71;0.67;0.63;0.60;0.56;0.53;0.50;0.47;0.44;0.41;0.39;0.36;0.34;0.32;0.30;0.28;0.27;0.25;0.23;0.22;0.21;0.19;0.18;0.17;0.16;0.15;0.14;0.13;0.12;0.11;0.10;0.09;0.08;0.07;0.06;0.06;0.05;0.04;0.04;0.03;0.02;0.02;0.01;0.01;0.00;-0.00;-0.01;-0.01;-0.02;-0.02;-0.02;-0.03;-0.03
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
